Song,Artist,Link
Nobody,Avenged Sevenfold,https://open.spotify.com/track/4Rs2N7ewIjanXUNYtMKK3j
Meet Your Maker,In Flames,https://open.spotify.com/track/5qZMqZspIglsy4SJxtJt0S
Drowning,Atreyu,https://open.spotify.com/track/4l0UQ0zDIPYaaa5FF2Kvwt
Nightmare,From Ashes to New,https://open.spotify.com/track/0u9PGHiydskvvPmyPVvm73
The Summoning,Sleep Token,https://open.spotify.com/track/0S38Oso3I9vpDXcTb7kYt9
Watch The World Burn,Falling In Reverse,https://open.spotify.com/track/4CiVz4bw7X1zjCaJ5ZwxUS
Welcome To The Circus,Five Finger Death Punch,https://open.spotify.com/track/1linrfCmITmQHs4enAxTUY
Doomswitch,Make Them Suffer,https://open.spotify.com/track/6pUUtKVRmODliJWTyY2pet
There’s Fear In Letting Go,I Prevail,https://open.spotify.com/track/2OYtcqflvzQwh3cMPmTHs4
Dark Void,Asking Alexandria,https://open.spotify.com/track/5qI0O2liRuEC6Mnv8BKl0S
Jesus He Knows Me,Ghost,https://open.spotify.com/track/1zd8h6ho3mlbhkZnADHVzP
Left Behind,The Plot In You,https://open.spotify.com/track/5G6jZFDAFlpAA9v5LTV4NI
Miracle,A Day To Remember,https://open.spotify.com/track/2ah5gOCogw00A62XBoepmc
AmEN! (feat. Lil Uzi Vert and Daryl Palumbo of Glassjaw),Bring Me The Horizon,https://open.spotify.com/track/5viZ8CLipufc1Q1NXpMRNN
Just Pretend,Bad Omens,https://open.spotify.com/track/1H4Y9uW4N0LsxJUz0VnaPJ
Werewolf,Motionless In White,https://open.spotify.com/track/1e1rQNYCZToyBDDka1Io34
Our Time Is Now,Gojira,https://open.spotify.com/track/0dDs144SVansAFynvKYQMW
Soul Bleach,Parkway Drive,https://open.spotify.com/track/3kRGiGpjCFS7CtEBSfHNH0
Bite Your Tongue,Attila,https://open.spotify.com/track/1lnW6hdkIDZU6JA53R0emi
Dark Waves,Attack Attack!,https://open.spotify.com/track/3SDcDLF3wwQwnI3Wst38aY
The Golden Trail,Nita Strauss,https://open.spotify.com/track/1rBYsCI24Fw07Hg4e1Dwlh
Fight Fire With Gasoline,Self Deception,https://open.spotify.com/track/78frUxVotRtpMrNMcyYtns
a new moral low ground,Architects,https://open.spotify.com/track/2XNJNwSOq8tLWhQ5a9sGBb
Inhumane,Polaris,https://open.spotify.com/track/36K5KSqFJOCN9YLmSTkXrG
Dial Tone,Catch Your Breath,https://open.spotify.com/track/5tX5qGeEImk2CZYyGHrq9I
Remember Me,Currents,https://open.spotify.com/track/1xqt7wT0YY9YpP9jrTuVgG
Safe And Sound,Point North,https://open.spotify.com/track/1LtXoOrqBYS8kcheVUt5Pr
Without a Whisper,Invent Animate,https://open.spotify.com/track/6QElYAt0RHossldXx3Udv9
Black Thunder (feat. Serj Tankian and DL of Bad Wolves),The HU,https://open.spotify.com/track/7qDVR7dlgSBpHPw7tqcO3d
Rise [ライズ],Rise Of The Northstar,https://open.spotify.com/track/1FSs6GsRfsp5sbtV48Z7xk
It's Hell Down Here,The Amity Affliction,https://open.spotify.com/track/3vxMfMNjD8k0ozmuVDu0Ai
Sunshine!,Beartooth,https://open.spotify.com/track/5UZvBguQtkxJfgYrMZcRhe
