Song,Artist,Link
Cupid - Twin Ver.,FIFTY FIFTY,https://open.spotify.com/track/7FbrGaHYVDmfr7KoLIZnQ7
I'm Good (Blue),David Guetta,https://open.spotify.com/track/4uUG5RXrOk84mYEfFvj3cK
I Ain't Worried,OneRepublic,https://open.spotify.com/track/4h9wh7iOZ0GGn8QVp4RAOB
Tattoo,Loreen,https://open.spotify.com/track/1DmW5Ep6ywYwxc2HMT5BG6
Blinding Lights,The Weeknd,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
As It Was,Harry Styles,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
Miracle (with Ellie Goulding),Calvin Harris,https://open.spotify.com/track/5eTaQYBE1yrActixMAeLcZ
Chemical,Post Malone,https://open.spotify.com/track/5w40ZYhbBMAlHYNDaVJIUu
CUFF IT,Beyoncé,https://open.spotify.com/track/1xzi1Jcr7mEi9K2RfzLOqS
Viva La Vida,Coldplay,https://open.spotify.com/track/1mea3bSkSGXuIRvnydlB5b
Sunroof,Nicky Youre,https://open.spotify.com/track/4h4QlmocP3IuwYEj2j14p8
Locked out of Heaven,Bruno Mars,https://open.spotify.com/track/3w3y8KPTfNeOKPiqUTakBh
Shivers,Ed Sheeran,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
There's Nothing Holdin' Me Back,Shawn Mendes,https://open.spotify.com/track/7JJmb5XwzOO8jgpou264Ml
One Kiss (with Dua Lipa),Calvin Harris,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
Woman,Doja Cat,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
A Sky Full of Stars,Coldplay,https://open.spotify.com/track/0FDzzruyVECATHXKHFs9eJ
Counting Stars,OneRepublic,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
Shut Up and Dance,WALK THE MOON,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
Levitating (feat. DaBaby),Dua Lipa,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,https://open.spotify.com/track/22skzmqfdWrjJylampe0kt
We Found Love,Rihanna,https://open.spotify.com/track/6qn9YLKt13AGvpq9jfO8py
Bad Habits,Ed Sheeran,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
Pepas,Farruko,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k
Belly Dancer,Imanbek,https://open.spotify.com/track/7fZBQnc0zXwVybgCIrQQil
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,https://open.spotify.com/track/4QNpBfC0zvjKqPJcyqBy9W
THATS WHAT I WANT,Lil Nas X,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
TiK ToK,Kesha,https://open.spotify.com/track/0HPD5WQqrq7wPWR7P7Dw1i
My Universe,Coldplay,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
Dynamite,BTS,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW
The Motto,Tiësto,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
High Hopes,Panic! At The Disco,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
Dynamite,Taio Cruz,https://open.spotify.com/track/2CEgGE6aESpnmtfiZwYlbV
"Happy - From ""Despicable Me 2""",Pharrell Williams,https://open.spotify.com/track/60nZcImufyMA1MKQY3dcCH
Sunshine,OneRepublic,https://open.spotify.com/track/5r43qanLhUCdBj8HN3fa6B
Levels - Radio Edit,Avicii,https://open.spotify.com/track/5UqCQaDshqbIk3pkhy4Pjg
Sucker,Jonas Brothers,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
New Rules,Dua Lipa,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
About Damn Time,Lizzo,https://open.spotify.com/track/1PckUlxKqWQs3RlWXVBLw3
Crazy What Love Can Do,David Guetta,https://open.spotify.com/track/1WCEAGGRD066z2Q89ObXTq
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,https://open.spotify.com/track/4356Typ82hUiFAynbLYbPn
More Than You Know,Axwell /\ Ingrosso,https://open.spotify.com/track/6h5PAsRni4IRlxWr6uDPTP
Waffle House,Jonas Brothers,https://open.spotify.com/track/5iE3eUH2WGCXcE2xr6DEmU
Best Day Of My Life,American Authors,https://open.spotify.com/track/5Hroj5K7vLpIG4FNCRIjbP
Galway Girl,Ed Sheeran,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
2 Be Loved (Am I Ready),Lizzo,https://open.spotify.com/track/2rmwqU7yzTvzkiaRV53DpT
Feel It Still,Portugal. The Man,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
Adventure of a Lifetime,Coldplay,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M
Still into You,Paramore,https://open.spotify.com/track/1yjY7rpaAQvKwpdUliHx0d
SexyBack (feat. Timbaland),Justin Timberlake,https://open.spotify.com/track/0O45fw2L5vsWpdsOdXwNAR
