Song,Artist,Link
Home To Another One,Madison Beer,https://open.spotify.com/track/7culXP38P58h83PXwLQqyg
That Part,Lauren Spencer Smith,https://open.spotify.com/track/7vfCm8tEWV9lCpyY1nvJVB
Dance The Night (From Barbie The Album),Dua Lipa,https://open.spotify.com/track/1vYXt7VSjH9JIM5oRRo7vA
Jaded,Miley Cyrus,https://open.spotify.com/track/3AAY8YicetRPlDAkibHLiS
Never Ending Song,Conan Gray,https://open.spotify.com/track/5BI0zQZciyoQfJxsu8CIn9
Mourning,Post Malone,https://open.spotify.com/track/0gWrMbx6pbdH3n3nsLjE55
Popular (with Playboi Carti & Madonna),The Weeknd,https://open.spotify.com/track/5xP9lQYA8YQmQh6BOxcAnR
Satellite,Harry Styles,https://open.spotify.com/track/0rzaRSujxA0bKyjJl6vHYq
Don't Forget About Me,d4vd,https://open.spotify.com/track/05vvPTidbjvDySLc9o65YS
Hits Different,Taylor Swift,https://open.spotify.com/track/3xYJScVfxByb61dYHTwiby
Summer Baby,Jonas Brothers,https://open.spotify.com/track/3FyfTh70PkgooRDe4SNP0U
Self Destruction Mode,The Chainsmokers,https://open.spotify.com/track/05e1CoIPmXLy6aPBotZlTZ
Hero,Alan Walker,https://open.spotify.com/track/1rBTBbtkJlSDk78gg8Dw9F
Feather,Sabrina Carpenter,https://open.spotify.com/track/2Zo1PcszsT9WQ0ANntJbID
RUNAWAY,OneRepublic,https://open.spotify.com/track/07fbDnkKdZGk1gLvknxrns
Say Yes To Heaven,Lana Del Rey,https://open.spotify.com/track/6GGtHZgBycCgGBUhZo81xe
Never Felt So Alone,Labrinth,https://open.spotify.com/track/2NbsBSshscKIPRG3kwBbfo
Daylight,David Kushner,https://open.spotify.com/track/1odExI7RdWc4BT515LTAwj
That’s Not How This Works (feat. Dan + Shay),Charlie Puth,https://open.spotify.com/track/28a0aMV1OKoyNiCJuNsWrY
Meltdown,Niall Horan,https://open.spotify.com/track/52Rfxu5AUNMV1qhhC2ZCkb
Karma,Taylor Swift,https://open.spotify.com/track/7KokYm8cMIXCsGVmUvKtqf
Haven't You Ever Been In Love Before?,Lewis Capaldi,https://open.spotify.com/track/7136zBuda3024ZQUTBB1Vg
Glue Song,beabadoobee,https://open.spotify.com/track/3iBgrkexCzVuPy4O9vx7Mf
Fictional,Khloe Rose,https://open.spotify.com/track/6aHT59msgWO3ivOICNFmSS
Fell In Love,Marshmello,https://open.spotify.com/track/1N8klHEbZ0bFOHnMVs8C9S
What It Is (Solo Version),Doechii,https://open.spotify.com/track/73RbfOTJIjHzi2pcVHjeHM
I like u,Tove Lo,https://open.spotify.com/track/7H6TvLL3dyoY2XtrUKp3wK
Side Effects,Becky Hill,https://open.spotify.com/track/5vOWdyk23iqRryEmbNCrCp
Cupid - Twin Ver.,FIFTY FIFTY,https://open.spotify.com/track/7FbrGaHYVDmfr7KoLIZnQ7
From The Start,Laufey,https://open.spotify.com/track/1Ukxccao1BlWrPhYkcXbwZ
A Year Ago,James Arthur,https://open.spotify.com/track/3DBJE1Zndql25OGUQSv7aD
Ant Pile,Dominic Fike,https://open.spotify.com/track/2hR3npB7rQOqRXS4yISzFs
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long)",Kodak Black,https://open.spotify.com/track/1XUXrNFoi9ixlH3fn8MRXQ
Queencard,(G)I-DLE,https://open.spotify.com/track/4uOBL4DDWWVx4RhYKlPbPC
Alone (with Nicki Minaj),Kim Petras,https://open.spotify.com/track/7kOletJ0Q5H4MWe7cfeZXP
Chemical,Post Malone,https://open.spotify.com/track/5w40ZYhbBMAlHYNDaVJIUu
Middle Ground,Maroon 5,https://open.spotify.com/track/3xiccJ9jlTVwC8Yl66eGv5
american jesus,Nessa Barrett,https://open.spotify.com/track/6gnjE8oBkosBIEZroEjq4I
Only Love Can Save Us Now,Kesha,https://open.spotify.com/track/6EP9E1OLjmwe6sJlu3EyZN
Baby Don't Hurt Me,David Guetta,https://open.spotify.com/track/3BKD1PwArikchz2Zrlp1qi
TRUSTFALL,P!nk,https://open.spotify.com/track/4FWbsd91QSvgr1dSWwW51e
Fantasy (with GAYLE & Em Beihold),Lauren Spencer Smith,https://open.spotify.com/track/5Ldhogrc9RWAjXUQ3tXuUD
SunKissing,Hailee Steinfeld,https://open.spotify.com/track/5YbGrhQCpOT4aOTlFgACke
End Of Time,Zara Larsson,https://open.spotify.com/track/5ttodnEIaCGDuBbvJctUfc
LEFT RIGHT,XG,https://open.spotify.com/track/3v5o91PrUtf0nmO6j8J7dZ
Up & Down,The Chainsmokers,https://open.spotify.com/track/2R7xKsStJ9hNeZKoD9W5Nv
The Feels,Labrinth,https://open.spotify.com/track/3l3iCfpZsxbxWJhYoiQNkD
Lottery (feat. LU KALA),Latto,https://open.spotify.com/track/1JUtrCqYzJ80tcAzMbCvir
Kill Bill (feat. Doja Cat),SZA,https://open.spotify.com/track/0CrcwVLUe8wzLUIXgjXVZJ
i'm yours,Isabel LaRosa,https://open.spotify.com/track/37vVp2sWHuuIBOSl1NswP6
Eyes Wide Shut,ILLENIUM,https://open.spotify.com/track/556awMv4WQP0h1VXMU8rSU
Little Runaway,Benson Boone,https://open.spotify.com/track/7F9TZ2RT8rdVyzLFmfagiR
Favorite Song,Toosii,https://open.spotify.com/track/1SRw5p2lVAi7RGlHEmZg66
OK,Jeremy Zucker,https://open.spotify.com/track/2RSAu3AGDi2sPhYEjSZmzv
The Planet,BTS,https://open.spotify.com/track/4IJsVXbSeGPUrgwpVoHmlg
Curtains,Ed Sheeran,https://open.spotify.com/track/6ZZf5a8oiInHDkBe9zXfLP
Wish You The Best,Lewis Capaldi,https://open.spotify.com/track/3gdPwk2wyOXNRnTA1KXnEr
doomsday,Lizzy McAlpine,https://open.spotify.com/track/4WjxtORnwPavm5PDsAWJEc
Be The One (with Khalid),Bree Runway,https://open.spotify.com/track/4jMbQ5H6KaSRPRCBuNnW16
Can't Tame Her,Zara Larsson,https://open.spotify.com/track/4vOoQh9MhS9pyrbvc8LyMz
Die 4 Me,Halsey,https://open.spotify.com/track/6VYAzAQGFsfEAwdorQaZuU
HAPPY,NF,https://open.spotify.com/track/3ZEno9fORwMA1HPecdLi0R
Flip A Switch.,RAYE,https://open.spotify.com/track/252ZECHopILLs10pMfE76N
Clouds,BUNT.,https://open.spotify.com/track/2lWc1iJlz2NVcStV5fbtPG
Jericho,Iniko,https://open.spotify.com/track/4ztdjZ2t7BVo5DLIFQBdJh
We Go Down Together (with Khalid),Dove Cameron,https://open.spotify.com/track/2Y67qsABsPKMrvCxPCzL6r
Waffle House,Jonas Brothers,https://open.spotify.com/track/5iE3eUH2WGCXcE2xr6DEmU
Eyes Closed,Ed Sheeran,https://open.spotify.com/track/07bsRv0pcpbG4zJeLsUs1p
All Of The Girls You Loved Before,Taylor Swift,https://open.spotify.com/track/4P9Q0GojKVXpRTJCaL3kyy
Rose Colored Lenses,Miley Cyrus,https://open.spotify.com/track/3wH4eUkJ1rL5xTU8PZZyOy
4runner,Brenn!,https://open.spotify.com/track/1RaF9xwakfao1RRknWyYB5
Orange Juice - Spotify Singles,Noah Kahan,https://open.spotify.com/track/0MYm41WIh9hIRNDc20LPpb
UNDERSTAND,keshi,https://open.spotify.com/track/72sfmdpuO5r8cBDgs7MqZZ
Heaven,Niall Horan,https://open.spotify.com/track/1yHVHoz6Ny29gbbWJYVnFt
Red Flags,Mimi Webb,https://open.spotify.com/track/2r7BOWS3bEYjEUbLiH8kVM
If We Ever Broke Up,Mae Stephens,https://open.spotify.com/track/6maTPqynTmrkWIralgGaoP
ceilings,Lizzy McAlpine,https://open.spotify.com/track/2L9N0zZnd37dwF0clgxMGI
I know it won't work,Gracie Abrams,https://open.spotify.com/track/5FGDtm3MXJe8LikBkOJnOQ
I'm Not Here To Make Friends,Sam Smith,https://open.spotify.com/track/3i0FkJYlU4MFfYkjFHXXAM
BABY SAID,Måneskin,https://open.spotify.com/track/2KReCz1L5XkGIBhDncQ5VZ
Love Again,The Kid LAROI,https://open.spotify.com/track/4sx6NRwL6Ol3V6m9exwGlQ
Back To You,Lost Frequencies,https://open.spotify.com/track/3K00Ib1shkOEiAXU5pec6e
Miracle (with Ellie Goulding),Calvin Harris,https://open.spotify.com/track/5eTaQYBE1yrActixMAeLcZ
