Song,Artist,Link
I'm Good (Blue),David Guetta,https://open.spotify.com/track/4uUG5RXrOk84mYEfFvj3cK
I Ain't Worried,OneRepublic,https://open.spotify.com/track/4h9wh7iOZ0GGn8QVp4RAOB
Blinding Lights,The Weeknd,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
Shut Me Up,Nicky Youre,https://open.spotify.com/track/1XuushYZmiAuKpPYTj7p3v
Players,Coi Leray,https://open.spotify.com/track/6UN73IYd0hZxLi8wFPMQij
Watermelon Sugar,Harry Styles,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
My Stupid Heart,Walk off the Earth,https://open.spotify.com/track/3UZDl7g2r84o1b5marUjfK
Made You Look,Meghan Trainor,https://open.spotify.com/track/0QHEIqNKsMoOY5urbzN48u
Shivers,Ed Sheeran,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
If We Ever Broke Up,Mae Stephens,https://open.spotify.com/track/6maTPqynTmrkWIralgGaoP
Baby Don't Hurt Me,David Guetta,https://open.spotify.com/track/3BKD1PwArikchz2Zrlp1qi
Queen of Kings,Alessandra,https://open.spotify.com/track/14LdhxElpZS0rKVV4nxtdA
Dance The Night (From Barbie The Album),Dua Lipa,https://open.spotify.com/track/1vYXt7VSjH9JIM5oRRo7vA
Heaven,Niall Horan,https://open.spotify.com/track/1yHVHoz6Ny29gbbWJYVnFt
Pepas,Farruko,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k
Uptown Funk (feat. Bruno Mars),Mark Ronson,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
THATS WHAT I WANT,Lil Nas X,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
Numb,Marshmello,https://open.spotify.com/track/10xV5l9nhLvFpR8mqzs0bL
Dynamite,BTS,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW
My Universe,Coldplay,https://open.spotify.com/track/3FeVmId7tL5YN8B7R3imoM
Green Green Grass,George Ezra,https://open.spotify.com/track/4N5s8lPTsjI9EGP7K4SXzB
Whistle (feat. Calum Scott),Jax Jones,https://open.spotify.com/track/4q05KbxYZ5JdkmrletgPjF
Music For a Sushi Restaurant,Harry Styles,https://open.spotify.com/track/5LYMamLv12UPbemOaTPyeV
2002,Anne-Marie,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
"Happy - From ""Despicable Me 2""",Pharrell Williams,https://open.spotify.com/track/60nZcImufyMA1MKQY3dcCH
Sunshine,OneRepublic,https://open.spotify.com/track/5r43qanLhUCdBj8HN3fa6B
Sucker,Jonas Brothers,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
Kings & Queens,Ava Max,https://open.spotify.com/track/7a53HqqArd4b9NF4XAmlbI
About Damn Time,Lizzo,https://open.spotify.com/track/1PckUlxKqWQs3RlWXVBLw3
You Need To Calm Down,Taylor Swift,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
Budapest,George Ezra,https://open.spotify.com/track/2ixsaeFioXJmMgkkbd4uj1
Crazy What Love Can Do,David Guetta,https://open.spotify.com/track/1WCEAGGRD066z2Q89ObXTq
MONTERO (Call Me By Your Name),Lil Nas X,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
Waffle House,Jonas Brothers,https://open.spotify.com/track/5iE3eUH2WGCXcE2xr6DEmU
Best Day Of My Life,American Authors,https://open.spotify.com/track/5Hroj5K7vLpIG4FNCRIjbP
Bam Bam (feat. Ed Sheeran),Camila Cabello,https://open.spotify.com/track/0QBzMgT7NIeoCYy3sJCof1
Castle on the Hill,Ed Sheeran,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
Hold Me Closer,Elton John,https://open.spotify.com/track/72yP0DUlWPyH8P7IoxskwN
I'm Not Here To Make Friends,Sam Smith,https://open.spotify.com/track/3i0FkJYlU4MFfYkjFHXXAM
Head & Heart (feat. MNEK),Joel Corry,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
Alone (with Nicki Minaj),Kim Petras,https://open.spotify.com/track/7kOletJ0Q5H4MWe7cfeZXP
2 Be Loved (Am I Ready),Lizzo,https://open.spotify.com/track/2rmwqU7yzTvzkiaRV53DpT
Señorita,Shawn Mendes,https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik
Where Did You Go? (feat. MNEK),Jax Jones,https://open.spotify.com/track/3sa06xVNmLLYIxdNNmVQN8
Acapulco,Jason Derulo,https://open.spotify.com/track/3eJH2nAjvNXdmPfBkALiPZ
