Song,Artist,Link
So Far So Good,Sun Of They,https://open.spotify.com/track/6zTbtySCRStJOv5xA4XvRE
Apricity,Imala Zir,https://open.spotify.com/track/6cr9XbO2yAJgTNa6XNRINF
Solatium,Imber Sun,https://open.spotify.com/track/4br0nM6NdvDKMJgLj44foR
efflorescence,Far & Beyond,https://open.spotify.com/track/7qa14fkhxgOwWgJ2cbDTyc
Gather My Thoughts,Josef Briem,https://open.spotify.com/track/11nkLTEsCUzxXLWpyuz65G
Fresh Paint,Shape Of Our Dreams,https://open.spotify.com/track/40yQjVqMx52xTlY4KFZXnh
Infinite Sustain,Amaranth Cove,https://open.spotify.com/track/5AciiCKJKTLKRrAPSrKQy5
Borealis,PLACID,https://open.spotify.com/track/7hYgGeMBarMRK5iGPqKGsb
mind reader,Haltura Arnadottir,https://open.spotify.com/track/76aMjXNa94NuHTNC0BFoH8
Mastermind,Josef Briem,https://open.spotify.com/track/3lt88w6SiiTWWvG0LYXRjx
Bridges,Woven Hearts,https://open.spotify.com/track/4ojVtI82vjDG9gBEE29YBb
Dreamshaper,Agnes Lundh,https://open.spotify.com/track/5N9usiGt4EYV0V6YInEmIR
Spaces,William Reed,https://open.spotify.com/track/72eV4iUZ0MHnx35ARmPwYY
Mind over matter,Josef Briem,https://open.spotify.com/track/1XTcfJ0PlFW3xSq4kqPxqr
Getting Closer,Pireas,https://open.spotify.com/track/7kfCTnxt6irtsSWWbFib62
Wish I Knew,Spaced Out Dreams,https://open.spotify.com/track/753JsxMTj2sSrV3VBUzlmh
Relentless,Silver Falls,https://open.spotify.com/track/6b1iYDiid8sZVQzwrF438y
Seeing Sound,San Bernadino 5,https://open.spotify.com/track/1c9EcAZaZwvguJscnojXaR
Infra,Tiger Throws,https://open.spotify.com/track/7aUZ3tEkoDN8qE6Rl6TfCc
Tide,Nomad Spector,https://open.spotify.com/track/2j7uOzdepAtKUnn8VcuNEV
Whispering,Space Access,https://open.spotify.com/track/1hWZ0uScuJ6PSeoe2p4sKC
Steady figures,Imber Sun,https://open.spotify.com/track/1sGdr8pFBYgx4ZHDLjcH5c
circumstances,Garden Collective,https://open.spotify.com/track/47ibywRXe3EGtaL4ZVhvzL
Echoed Memory,Equanimity Seekers,https://open.spotify.com/track/4oNCXU6RZG6qpVDAfZUoEh
Unperturbed,Gate.74,https://open.spotify.com/track/5483XAumUCO44oXXH5lxfg
bounce back,Far & Beyond,https://open.spotify.com/track/1rkxyQH6y3qxysbYKo8yyI
Pyramids,Humasnó,https://open.spotify.com/track/1a2BXMnQbjArGITwt3bMD9
Keep It Together,Naómi Sun,https://open.spotify.com/track/5IYnFJVBmhQGGluaHAHZaf
Crystals,Sun Of They,https://open.spotify.com/track/4gAlANEHRk0T04OKXNc9vy
Daydreams Again,Sisters Of Marks,https://open.spotify.com/track/65g63lVQqRCZsqROayNak9
The inner circle,Dreams Ahead,https://open.spotify.com/track/41ial1TTDNlhaEuzpI5SAk
Distance,Ben Tofft,https://open.spotify.com/track/0fOzbcpxqSgX5KhLwfdGyi
Sounds from Home,Haltura Arnadottir,https://open.spotify.com/track/5iFHdi7BB0koNu8t2Ug82n
The Narrator,Dance Of Centuries,https://open.spotify.com/track/0RsUZkIIsJAXDzsDa5xz12
Orion's Belt,Lykke Juno,https://open.spotify.com/track/2p36nzolzAlLbaFAQiqfPd
What You Were Looking For,Broken Legacy,https://open.spotify.com/track/5LdVyywNiR4gqPPM3yqVSR
Upside,Wimmel,https://open.spotify.com/track/7cEcI3DZiwBrFcF3bAeBuL
blue dream mountain,bonecatcher,https://open.spotify.com/track/0fdn9DETYyIN4sEuSqkm1x
river song,Spaced Out Dreams,https://open.spotify.com/track/6f6qUsqIfRIEqHJuL6EFAn
Breaking the Barrier,Dreams Ahead,https://open.spotify.com/track/4HXS5JIpFZmXj4yFMOv4gU
